Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,100.00,105.50,99.25,104.75,104.75,1500000
2024-01-02,104.75,108.20,103.80,107.90,107.90,1750000
2024-01-03,107.90,109.45,106.30,108.25,108.25,1200000
2024-01-04,108.25,110.80,107.50,109.60,109.60,1650000
2024-01-05,109.60,111.25,108.90,110.45,110.45,1400000
2024-01-08,110.45,112.30,109.75,111.80,111.80,1550000
2024-01-09,111.80,113.50,111.20,112.95,112.95,1300000
2024-01-10,112.95,114.75,112.40,114.20,114.20,1800000
2024-01-11,114.20,115.90,113.60,115.35,115.35,1450000
2024-01-12,115.35,116.80,114.90,116.25,116.25,1600000
2024-01-15,116.25,118.40,115.80,117.90,117.90,1700000
2024-01-16,117.90,119.25,117.30,118.75,118.75,1550000
2024-01-17,118.75,120.10,118.20,119.60,119.60,1650000
2024-01-18,119.60,121.30,119.10,120.85,120.85,1800000
2024-01-19,120.85,122.50,120.40,121.95,121.95,1900000
2024-01-22,121.95,123.80,121.50,123.20,123.20,2000000
2024-01-23,123.20,124.90,122.80,124.45,124.45,1850000
2024-01-24,124.45,126.20,124.00,125.75,125.75,1950000
2024-01-25,125.75,127.40,125.30,126.90,126.90,2100000
2024-01-26,126.90,128.60,126.50,128.15,128.15,2200000
2024-01-29,128.15,129.80,127.70,129.35,129.35,2150000
2024-01-30,129.35,131.20,129.00,130.65,130.65,2300000
2024-01-31,130.65,132.40,130.20,131.85,131.85,2250000
2024-02-01,131.85,133.60,131.40,133.10,133.10,2400000
2024-02-02,133.10,134.80,132.70,134.25,134.25,2350000
2024-02-05,134.25,136.00,133.90,135.50,135.50,2500000
2024-02-06,135.50,137.20,135.10,136.75,136.75,2450000
2024-02-07,136.75,138.40,136.30,137.95,137.95,2600000
2024-02-08,137.95,139.70,137.50,139.20,139.20,2550000
2024-02-09,139.20,140.90,138.80,140.45,140.45,2700000
2024-02-12,140.45,142.20,140.00,141.70,141.70,2650000
2024-02-13,141.70,143.40,141.30,142.95,142.95,2800000
2024-02-14,142.95,144.70,142.50,144.20,144.20,2750000
2024-02-15,144.20,145.90,143.80,145.45,145.45,2900000
2024-02-16,145.45,147.20,145.00,146.70,146.70,2850000
2024-02-20,146.70,148.40,146.30,147.95,147.95,3000000
2024-02-21,147.95,149.70,147.50,149.20,149.20,2950000
2024-02-22,149.20,150.90,148.80,150.45,150.45,3100000
2024-02-23,150.45,152.20,150.00,151.70,151.70,3050000
2024-02-26,151.70,153.40,151.30,152.95,152.95,3200000
2024-02-27,152.95,154.70,152.50,154.20,154.20,3150000
2024-02-28,154.20,155.90,153.80,155.45,155.45,3300000
2024-02-29,155.45,157.20,155.00,156.70,156.70,3250000
